parameter_id,parameter_index,paramater_value
257,0,0B00
258,0,1E
259,0,00
260,0,05
261,0,000000000000000000003E8000003E80000A
261,1,000000000000000000004C0400004C04000A
261,2,0000000000000000000034EE000034EE000A
261,3,000000000000000000000000000000000000
261,4,000000000000000000000000000000000000
261,5,000000000000000000000000000000000000
261,6,000000000000000000000000000000000000
261,7,000000000000000000000000000000000000
261,8,000000000000000000000000000000000000
261,9,000000000000000000000000000000000000
261,10,000000000000000000000000000000000000
261,11,000000000000000000000000000000000000
261,12,000000000000000000000000000000000000
261,13,000000000000000000000000000000000000
261,14,000000000000000000000000000000000000
261,15,000000000000000000000000000000000000
261,16,000000000000000000000000000000000000
261,17,000000000000000000000000000000000000
261,18,000000000000000000000000000000000000
261,19,000000000000000000000000000000000000
261,20,000000000000000000000000000000000000
261,21,000000000000000000000000000000000000
261,22,000000000000000000000000000000000000
261,23,000000000000000000000000000000000000
261,24,000000000000000000000000000000000000
261,25,000000000000000000000000000000000000
261,26,000000000000000000000000000000000000
261,27,000000000000000000000000000000000000
261,28,000000000000000000000000000000000000
261,29,000000000000000000000000000000000000
261,30,000000000000000000000000000000000000
261,31,000000000000000000000000000000000000
262,0,0000003C
263,0,000003E8
264,0,3C
265,0,00000708
265,1,0000012C
265,2,00000000
265,3,00000000
265,4,00000000
265,5,00000000
265,6,00000000
265,7,00000000
265,8,00000000
265,9,00000014
265,10,0000003C
265,11,00000000
265,12,00000000
265,13,00000002
265,14,00000078
265,15,00000258
266,0,00002328
266,1,00000000
266,2,00000000
266,3,00000000
266,4,00000000
266,5,00000000
266,6,00000000
266,7,00000000
266,8,00000000
266,9,00000000
266,10,00000000
266,11,00000000
266,12,00000000
266,13,00000000
266,14,00000000
266,15,00000000
267,0,00014370
267,1,00000000
267,2,00000000
267,3,00000000
268,0,0000
268,1,0000
268,2,0000
268,3,0000
269,0,7F
269,1,7F
269,2,00
269,3,00
270,0,0A
270,1,0A
270,2,0A
270,3,0A
270,4,1E
270,5,0A
270,6,0A
270,7,0A
271,0,03
271,1,00
271,2,00
271,3,00
271,4,14
271,5,05
271,6,00
271,7,00
272,0,03
272,1,00
272,2,00
272,3,00
272,4,14
272,5,05
272,6,00
272,7,00
275,0,0000000A
512,0,030000000D000000
512,1,030000000D010000
512,2,030000001B010000
512,3,0300000007000000
512,4,300000002A000000
512,5,3000000057070000
512,6,3000000056080000
512,7,10000C0A01150000
512,8,0F000C0A01160000
512,9,0000000000000000
512,10,100000000D000000
512,11,12000200011F0000
512,12,0000000000000000
512,13,1100010001290000
512,14,0000000000000000
512,15,2B0001000D010000
512,16,2A0001001E010000
512,17,100000001E010000
512,18,12010100012A0000
512,19,0000000000000000
512,20,0000000000000000
512,21,2F00000011090000
512,22,130000001E090000
512,23,1209000001330000
512,24,0000000000000000
512,25,09000C0A01460000
512,26,0A000C0A01500000
512,27,09010C0A01470000
512,28,0A010C0A01510000
512,29,09020C0A01480000
512,30,0A020C0A01520000
512,31,0000000000000000
512,32,04010000013D0000
512,33,0403000001400000
512,34,04020C0A013F0000
512,35,05020C0A013E0000
512,36,0000000000000000
512,37,0F00000013020000
512,38,0F0000001B020000
512,39,100000001C020000
512,40,0000000000000000
512,41,07000000015A0000
512,42,08000000015B0000
512,43,0000000000000000
512,44,0000000000000000
512,45,0000000000000000
512,46,0000000000000000
512,47,0000000000000000
512,48,0000000000000000
512,49,0000000000000000
512,50,0000000000000000
512,51,0000000000000000
512,52,0000000000000000
512,53,0000000000000000
512,54,0000000000000000
512,55,0000000000000000
